,Date,Open,High,Low,Close
691,2022-02-04,0.6201,0.6221,0.6201,0.6221
690,2022-02-03,0.6798,0.6798,0.6798,0.6798
689,2022-02-02,0.7,0.7,0.6798,0.6798
688,2022-02-01,0.6901,0.7,0.6701,0.7
687,2022-01-31,0.69,0.69,0.69,0.69
686,2022-01-28,0.7324,0.7324,0.7,0.71
685,2022-01-27,0.85,0.85,0.85,0.85
684,2022-01-26,0.73,0.73,0.73,0.73
683,2022-01-25,0.6801,0.6832,0.6801,0.6832
682,2022-01-24,0.7999,0.7999,0.7999,0.7999
681,2022-01-21,0.84,0.84,0.84,0.84
680,2022-01-20,0.8399,0.84,0.7701,0.84
679,2022-01-19,0.7002,0.7201,0.7001,0.7201
678,2022-01-18,0.81,0.81,0.81,0.81
677,2022-01-14,0.8099,0.81,0.8099,0.81
676,2022-01-13,0.8299,0.8399,0.8299,0.8301
675,2022-01-12,0.8399,0.8399,0.8399,0.8399
674,2022-01-11,0.62,0.62,0.62,0.62
673,2022-01-10,0.62,0.62,0.62,0.62
672,2022-01-07,0.6701,0.7048,0.62,0.62
671,2022-01-06,0.67,0.67,0.67,0.67
670,2022-01-05,0.67,0.67,0.67,0.67
669,2022-01-04,0.67,0.67,0.67,0.67
668,2022-01-03,0.6601,0.6601,0.6601,0.6601
667,2021-12-31,0.65,0.65,0.65,0.65
666,2021-12-30,0.65,0.65,0.65,0.65
665,2021-12-29,0.7598,0.7598,0.7598,0.7598
664,2021-12-28,0.7598,0.7598,0.7598,0.7598
663,2021-12-27,0.76,0.76,0.76,0.76
662,2021-12-23,0.76,0.76,0.76,0.76
661,2021-12-22,0.6102,0.6102,0.6102,0.6102
660,2021-12-21,0.7701,0.7701,0.7701,0.7701
659,2021-12-20,0.7701,0.7701,0.7701,0.7701
658,2021-12-17,0.7701,0.7701,0.7701,0.7701
657,2021-12-16,0.7701,0.7701,0.7701,0.7701
656,2021-12-15,0.77,0.7701,0.77,0.7701
655,2021-12-14,0.7498,0.7498,0.7498,0.7498
654,2021-12-13,0.7793,0.7794,0.7793,0.7794
653,2021-12-10,0.8294,0.8294,0.8294,0.8294
652,2021-12-09,0.8294,0.8294,0.8294,0.8294
651,2021-12-08,0.8294,0.8294,0.8294,0.8294
650,2021-12-07,0.6501,0.6517,0.65,0.65
649,2021-12-06,0.64,0.64,0.64,0.64
648,2021-12-03,0.6601,0.6601,0.6302,0.64
647,2021-12-02,0.7206,0.74,0.6601,0.6601
646,2021-12-01,0.8201,0.8201,0.7395,0.74
645,2021-11-30,0.86,0.86,0.78,0.78
644,2021-11-29,0.6601,0.8843,0.6601,0.8843
643,2021-11-26,0.8955,0.8955,0.8955,0.8955
642,2021-11-24,0.9399,0.9399,0.9399,0.9399
641,2021-11-23,0.8217,0.8217,0.8217,0.8217
640,2021-11-22,0.7899,0.8463,0.77,0.8463
639,2021-11-19,0.8599,0.8599,0.8202,0.8202
638,2021-11-18,0.85,0.94,0.7601,0.86
637,2021-11-17,0.85,0.9,0.7494,0.7494
636,2021-11-16,0.7998,0.85,0.7899,0.85
635,2021-11-15,0.8498,0.8499,0.7581,0.78
634,2021-11-12,0.765,0.765,0.7301,0.7301
633,2021-11-11,0.7802,0.7802,0.7802,0.7802
632,2021-11-10,0.74,0.8868,0.7101,0.7802
631,2021-11-09,0.63,0.6651,0.625,0.6651
630,2021-11-08,0.6501,0.6501,0.6,0.6399
629,2021-11-05,0.6501,0.6725,0.6501,0.6502
628,2021-11-04,0.6601,0.6601,0.5922,0.6501
627,2021-11-03,0.6904,0.7003,0.63,0.6602
626,2021-11-02,0.7101,0.7101,0.5601,0.6602
625,2021-11-01,0.74,0.7836,0.71,0.7699
624,2021-10-29,0.75,0.75,0.75,0.75
623,2021-10-28,0.75,0.75,0.75,0.75
622,2021-10-27,0.75,0.75,0.75,0.75
621,2021-10-26,0.7199,0.7199,0.7,0.7198
620,2021-10-25,0.7699,0.8026,0.7307,0.741
619,2021-10-22,0.7852,0.7856,0.76,0.77
618,2021-10-21,0.93,1.16,0.74,0.765
617,2021-10-20,0.8,0.8,0.8,0.8
616,2021-10-19,0.8,0.8,0.8,0.8
615,2021-10-18,0.8007,0.8007,0.8,0.8
614,2021-10-15,0.86,0.91,0.86,0.8655
